"V1" "V2"
"292" 65672 55.84
"293" 67561 65
"294" 68398 69.99
"295" 67441 66.83
"296" 65314 52.97
"297" 63511 46.04
"298" 62996 41.72
"299" 64401 44.75
"300" 70701 69.9
"301" 71377 84.99
"302" 68786 76.51
"303" 64886 52.97
"304" 63478 45.25
"305" 65276 55.78
"306" 62788 41.89
"307" 60002 47.07
"308" 57622 40.69
"309" 56164 36.36
"310" 54811 34.93
"311" 53772 34.76
"312" 51744 32.04
"313" 48003 21.91
"314" 49288 26.31
"315" 53016 30.54
"316" 57370 35.91
"317" 60577 39.64
"318" 63251 44.91
"319" 61905 43.93
"320" 59489 37.07
"321" 57709 33.12
"322" 57024 29.87
"323" 58837 34.54
"324" 65894 52.82
"325" 68301 67.04
"326" 67268 62.66
"327" 64899 40.89
"328" 64545 41.24
"329" 66936 45.53
"330" 64408 42.85
"331" 62123 42.4
"332" 60663 38.55
"333" 59179 37.65
"334" 57990 35.65
"335" 58266 35.27
"336" 61797 37.92
"337" 69103 43.31
"338" 77627 94.07
"339" 79654 92.93
"340" 79475 92.78
"341" 79781 92.91
"342" 79914 92.99
"343" 79495 90.25
"344" 78985 90.09
"345" 78064 90.04
"346" 77216 86.16
"347" 77146 90
"348" 82263 93.94
"349" 82629 94.12
"350" 80156 92.99
"351" 76468 82.78
"352" 73662 61.79
"353" 73026 62.38
"354" 69030 48.98
"355" 65845 43.49
"356" 64156 35.83
"357" 62717 34.41
"358" 61789 32.32
"359" 61973 33.32
"360" 64246 33.33
"361" 70521 42.86
"362" 78701 74.25
"363" 80878 86.15
"364" 80836 91
"365" 81550 90.82
"366" 82464 87.26
"367" 81894 79.36
"368" 81308 79.66
"369" 80868 82.56
"370" 80644 79.63
"371" 80795 82.51
"372" 83887 91.02
"373" 83204 92.27
"374" 80637 85.07
"375" 76144 71.01
"376" 73577 57.82
"377" 72159 50.15
"378" 67432 43.45
"379" 63866 41.04
"380" 61799 33.44
"381" 60328 35.61
"382" 59966 38.21
"383" 61160 34.88
"384" 63845 38.4
"385" 70396 49.51
"386" 78052 77.99
"387" 79931 88.39
"388" 79708 86.33
"389" 80454 88.39
"390" 81511 90.05
"391" 80497 85.02
"392" 79958 85.02
"393" 79148 84
"394" 78546 80.84
"395" 78461 84.49
"396" 82082 97.19
"397" 79386 91.05
"398" 75113 83.92
"399" 72711 68.07
"400" 71446 61.62
"401" 67102 52.29
"402" 63410 47.78
"403" 61750 44.8
"404" 60662 41.74
"405" 60188 33.54
"406" 60830 33.55
"407" 62911 38.21
"408" 69092 47.75
"409" 77029 80.82
"410" 78818 88.98
"411" 78261 88.94
"412" 78905 88.96
"413" 79688 90.21
"414" 78852 87.29
"415" 78388 83.38
"416" 77862 75.51
"417" 77249 75.86
"418" 77329 79.81
"419" 81540 88.95
"420" 81923 88.7
"421" 79529 85.2
"422" 74959 68.48
"423" 71962 59.01
"424" 71441 49.08
"425" 67154 41.85
"426" 62811 46.96
"427" 60914 43.11
"428" 59828 36.07
"429" 59122 37.46
"430" 59659 38.18
"431" 62133 38.32
"432" 68745 46.53
"433" 76779 84.81
"434" 79290 87.1
"435" 78870 84.65
"436" 79983 85.33
"437" 80849 84.01
"438" 79495 78.98
"439" 77759 78.17
"440" 76243 65.67
"441" 75368 62.48
"442" 76015 59.16
"443" 80179 76.86
"444" 79971 82.59
"445" 76745 61.29
"446" 72142 55.04
"447" 70007 46.75
"448" 70198 45.96
"449" 66152 37.31
"450" 62466 38.64
"451" 59683 31.49
"452" 58267 37.13
"453" 57426 28.54
"454" 57205 27.99
"455" 55775 23.22
"456" 54625 4.39
"457" 58754 28.53
"458" 62940 38.36
"459" 66062 43.92
"460" 67922 48.62
"461" 69204 52.87
"462" 67898 48.16
"463" 66013 45.24
"464" 64406 43.01
"465" 63530 41.93
"466" 64587 45.71
"467" 69651 58.24
"468" 70197 67.24
"469" 68404 60.02
"470" 65467 46.43
"471" 64211 44.58
"472" 64015 45.77
"473" 61170 39.63
"474" 57854 49.88
"475" 55314 38.96
"476" 53696 36.05
"477" 52537 35.33
"478" 52110 35.33
"479" 50336 33.21
"480" 46983 23.38
"481" 48590 28.02
"482" 51943 31.34
"483" 56331 39.92
"484" 60158 42.22
"485" 63349 46.59
"486" 62338 44.83
"487" 60077 41.75
"488" 58341 38
"489" 57608 33.22
"490" 58446 34.77
"491" 64301 49.46
"492" 67027 68.05
"493" 66312 71.03
"494" 63792 60.01
"495" 63397 48.52
"496" 66506 56.94
"497" 64146 48.66
"498" 61442 42.16
"499" 60210 39.7
"500" 59209 38.59
"501" 58045 37.09
"502" 58128 37.61
"503" 61315 40.79
"504" 69012 49.35
"505" 76723 89.91
"506" 78942 94.96
"507" 78774 93.9
"508" 79448 93.96
"509" 80083 91.01
"510" 79385 90.06
"511" 79132 95.03
"512" 78146 90.03
"513" 77230 88.95
"514" 76704 88.53
"515" 81841 93.64
"516" 83070 94.92
"517" 81036 90
"518" 77374 82.51
"519" 74615 66.32
"520" 74756 65.79
"521" 71266 51.97
"522" 68487 53.06
"523" 66952 55.2
"524" 64940 48.15
"525" 63310 44.12
"526" 63036 38.34
"527" 65145 49
"528" 71231 54.63
"529" 78558 97.99
"530" 79114 96.44
"531" 78303 95.06
"532" 77576 91.08
"533" 77391 89.01
"534" 82557 99.34
"535" 83462 98.38
"536" 81729 90.09
"537" 77740 91.18
"538" 75307 76.94
"539" 75198 69.56
"540" 71395 54.08
"541" 68208 55.29
"542" 66100 53.86
"543" 64521 46.43
"544" 63390 43.39
"545" 63479 45.23
"546" 65397 45.02
"547" 71627 57.9
"548" 81924 92.74
"549" 81176 90.28
"550" 80360 94.92
"551" 79535 91.07
"552" 79603 88.75
"553" 77216 85.04
"554" 74581 72.02
"555" 74078 59.91
"556" 70037 48.51
"557" 67070 50.19
"558" 65020 44.97
"559" 63719 40.82
"560" 62815 41.07
"561" 62992 40.63
"562" 64878 48.47
"563" 70755 57.57
"564" 78250 90.53
"565" 81179 93.56
"566" 80416 92.73
"567" 79647 92.96
"568" 78780 92.57
"569" 77814 92.92
"570" 77373 96.31
"571" 74949 81.01
"572" 74516 75.82
"573" 70992 61.38
"574" 68246 53.43
"575" 66494 51.44
"576" 65055 45.93
"577" 63593 43.91
"578" 63357 43.94
"579" 65123 45.06
"580" 70819 63.37
"581" 78318 94.25
"582" 76737 91.02
"583" 75734 93.5
"584" 75423 90.54
"585" 74902 90.01
"586" 72644 76.94
"587" 73585 63.66
"588" 70702 52.29
"589" 68262 66.16
"590" 65862 64.35
"591" 63613 56.93
"592" 61604 54.07
"593" 60141 49.85
"594" 58453 45.37
"595" 55998 40.71
"596" 59367 46.59
"597" 63291 52
"598" 66644 83.36
"599" 68219 89.08
"600" 69235 87.07
"601" 67643 79.68
"602" 65674 66.36
"603" 63621 59.87
"604" 63090 56.05
"605" 63517 58.55
"606" 69573 76.01
"607" 71925 90.03
"608" 69540 77.92
"609" 65430 53.43
"610" 63856 44.08
"611" 66059 55.09
"612" 63881 47.23
"613" 61629 49.4
"614" 59126 41.64
"615" 57351 40.52
"616" 55590 39.91
"617" 54360 39.18
"618" 52216 38.29
"619" 48559 25.01
"620" 50186 28.84
"621" 53606 35.43
"622" 57598 39.96
"623" 60447 43.28
"624" 62795 50.03
"625" 61010 47.1
"626" 58234 42.54
"627" 56296 38.98
"628" 55497 36.19
"629" 56368 39.01
"630" 62625 51.58
"631" 67054 65.08
"632" 66516 58.08
"633" 64108 48.32
"634" 63514 45.94
"635" 65735 59.66
"636" 63523 44.88
"637" 61542 41.36
"638" 59760 39.97
"639" 58600 38.57
"640" 57964 37.18
"641" 58651 36.52
"642" 61605 39.9
"643" 68792 47.56
"644" 76710 96.44
"645" 79018 97.93
"646" 79292 94.97
"647" 78728 95.16
"648" 77854 91.06
"649" 77134 87.97
"650" 76596 82.55
"651" 80310 94.46
"652" 82265 99.93
"653" 80293 92.92
"654" 76259 90.01
"655" 73670 72.11
"656" 72720 65.07
"657" 68442 52.29
"658" 65577 54.08
"659" 63526 59.99
"660" 62275 55.06
"661" 61444 45.05
"662" 62097 38.09
"663" 64197 49.95
"664" 70197 59.44
"665" 78087 92.48
"666" 79721 92.98
"667" 79446 94.33
"668" 78883 94.3
"669" 77680 92.94
"670" 76704 91.4
"671" 75826 92.91
"672" 79906 95.99
"673" 76013 90.95
"674" 73428 75.83
"675" 72474 74.8
"676" 68473 65.09
"677" 65911 47.67
"678" 64183 47.78
"679" 62912 45.31
"680" 62377 33.55
"681" 62639 30.17
"682" 64669 46.74
"683" 70589 61.01
"684" 78214 90.03
"685" 79891 94.39
"686" 79460 93.09
"687" 78589 90.96
"688" 77374 92.44
"689" 76330 91.19
"690" 75650 91.29
"691" 80053 97.15
"692" 76420 89.97
"693" 73923 83.55
"694" 73607 66.86
"695" 69543 55.92
"696" 66663 50.37
"697" 64880 57.52
"698" 63575 51.48
"699" 62557 40.59
"700" 62534 40.54
"701" 64712 63.1
"702" 70566 75.18
"703" 78028 95.45
"704" 79736 94.06
"705" 78935 91.03
"706" 78182 90.2
"707" 77368 90.75
"708" 80876 95.02
"709" 76903 92.23
"710" 74443 82.83
"711" 74186 77.96
"712" 70232 65.11
"713" 67304 63.98
"714" 65159 63.07
"715" 63599 59.77
"716" 62583 46.93
"717" 62761 48.97
"718" 64703 56.96
"719" 70568 72.07
"720" 77117 96.03
"721" 76094 90.82
