"V1" "V2"
"1" 9719.1 32.1
"2" 9825.2 30.07
"3" 9773.4 27.94
"4" 10575.6 21.71
"5" 10380.2 8.24
"6" 10712 1.13
"7" 10848.9 0
"8" 10465.8 0
"9" 10102.5 0
"10" 11087.2 0.6
"11" 10306.9 6.96
"12" 10376.7 27.07
"13" 10238.7 28.33
"14" 10347.8 27.18
"15" 9930.5 26.74
"16" 9992.5 27.36
"17" 10227 31.9
"18" 10565.1 44.11
"19" 11017.6 44.49
"20" 10963.9 45.02
"21" 10082.4 35.57
"22" 9714.8 34.93
"23" 9579.2 41.92
"24" 9755.1 32.4
"25" 10326.5 34.25
"26" 10267 31.96
"27" 10429.9 28.18
"28" 10672.3 25.06
"29" 10653.6 26.93
"30" 10168.4 29.05
"31" 10998.8 36.65
"32" 10192.5 49.88
"33" 10787 53.52
"34" 10391.5 67.64
"35" 10230.3 76.18
"36" 10861.7 80.41
"37" 10198.9 88.63
"38" 10129.5 90.02
"39" 10224.7 75.97
"40" 10356.3 67.69
"41" 10684.5 69.07
"42" 10849.3 89.85
"43" 10930.4 88.68
"44" 10629.4 73.72
"45" 10798 60.01
"46" 10489.3 49.52
"47" 10100.2 49.56
"48" 10274.6 39.27
"49" 9071.8 38.05
"50" 9594.4 35.87
"51" 9637.6 32.58
"52" 10115.6 32.32
"53" 9937.7 32.35
"54" 9310.1 31.48
"55" 10617 27.87
"56" 9979.9 57.57
"57" 10242.6 73.52
"58" 10234.9 87.43
"59" 9795.1 90.06
"60" 10093 78.05
"61" 9393.4 77.31
"62" 9698.7 74.09
"63" 9898.2 73.02
"64" 10111.7 70.18
"65" 9816.7 69.62
"66" 10288.7 92.58
"67" 10020.9 91.03
"68" 9541.5 84.26
"69" 9249.4 68.09
"70" 9971.4 60.26
"71" 9314.1 60.79
"72" 10011.4 41.1
"73" 10549.1 39.11
"74" 11195.9 35.28
"75" 11098 35.03
"76" 11181.3 32.57
"77" 11120.2 32.56
"78" 10366.4 36.99
"79" 10891.8 36.09
"80" 10158 49.9
"81" 10952.1 69
"82" 10594.7 82.42
"83" 9963.6 86.59
"84" 10026.9 95.02
"85" 9449.7 92.09
"86" 9772.2 85.07
"87" 10069.2 81.99
"88" 10160.7 82.41
"89" 9725.3 80.95
"90" 9692.5 95.97
"91" 9908.9 92.94
"92" 9862.5 86.55
"93" 9013.1 68.07
"94" 9306.4 51.4
"95" 8910.9 53.66
"96" 8886.8 44.53
"97" 9942.9 49.11
"98" 10252.9 45.32
"99" 10301 40.42
"100" 10419.7 43.54
"101" 10319.3 44.2
"102" 9721.3 43.08
"103" 10400.7 34.54
"104" 11369.9 49.11
"105" 11208.5 66.55
"106" 11147.9 82.04
"107" 10879.8 82.43
"108" 10893.2 82.49
"109" 10509.7 86.5
"110" 10585.6 82.47
"111" 10779.9 79.6
"112" 10669.9 77.98
"113" 11007.6 86.7
"114" 10897.5 97.31
"115" 11028.3 90.65
"116" 10721.6 85.2
"117" 9939.3 65
"118" 10032.1 47.85
"119" 9453 55.22
"120" 9289.8 44.05
"121" 9877.6 42.83
"122" 9656.1 42.66
"123" 10057.7 38.73
"124" 10283.2 32.56
"125" 10726 27.43
"126" 9867.2 32.06
"127" 10877.1 11.1
"128" 10834.9 31.05
"129" 10251.4 34.15
"130" 10047.7 40.7
"131" 10074.3 47.1
"132" 10529.2 52.99
"133" 10087.7 48.53
"134" 9732.8 42.15
"135" 9381.8 37.33
"136" 9743.5 32.94
"137" 9709.6 40.19
"138" 9741.4 62.32
"139" 10037 63.11
"140" 10152.1 49.55
"141" 10256.5 53.34
"142" 9895 43.03
"143" 9825.7 47.9
"144" 10379.4 36.09
"145" 9755.6 40.97
"146" 9974.1 37.32
"147" 10510.7 39.51
"148" 10382.8 35.41
"149" 10342.2 34.97
"150" 10481.8 36.88
"151" 10282.3 32.79
"152" 10101.6 40.73
"153" 10042 45.19
"154" 9389 52.99
"155" 9461.1 65
"156" 9738.2 64.63
"157" 9087.1 65.09
"158" 9137.9 53.33
"159" 9308.4 43.22
"160" 9589.4 40.92
"161" 9311.1 53.1
"162" 10014.3 79.92
"163" 10571.1 69.94
"164" 9791.5 54.71
"165" 9195.1 44.09
"166" 9043.9 43.29
"167" 8838.6 60.02
"168" 9678.4 42.78
"169" 9862.4 41
"170" 9848.9 36.04
"171" 10325.4 35.12
"172" 10524 32.91
"173" 11033.8 32.6
"174" 11337.2 30.55
"175" 11816 23.69
"176" 11067 27.41
"177" 10720.7 27.08
"178" 10171.6 32.54
"179" 9066.5 36.91
"180" 8572.2 49.41
"181" 8837.5 45.05
"182" 8986.3 36.93
"183" 9402.6 34.62
"184" 9649.4 34.01
"185" 9306.3 35.27
"186" 9616.7 45.02
"187" 10057.4 47.9
"188" 9990.7 49.95
"189" 9350.7 49.15
"190" 8618.7 46.93
"191" 9041.6 55.5
"192" 8847.8 45
"193" 9516.1 37.93
"194" 10245.4 34.46
"195" 10350 33.93
"196" 10476.7 31.28
"197" 10231.3 31.02
"198" 10200.6 34.46
"199" 10652.4 41.02
"200" 9722.4 90.33
"201" 8974 96.34
"202" 9133.6 96.96
"203" 10027 92.57
"204" 10354.7 68.06
"205" 9648.6 66.4
"206" 9582.2 52.42
"207" 9448.1 48.31
"208" 10255.3 42.06
"209" 10030.7 42.08
"210" 10955.2 35.35
"211" 10773.5 35.35
"212" 10456.5 43.95
"213" 9618.3 64.94
"214" 9385.8 96.98
"215" 9188.6 96.91
"216" 9341.9 95.02
"217" 9086.6 92.96
"218" 9186 95.79
"219" 9357.4 95.97
"220" 9770 90.03
"221" 9606.2 66.32
"222" 9457.5 65.05
"223" 9947.9 47.83
"224" 9793.5 45.88
"225" 9736.9 41.22
"226" 10111.6 39.75
"227" 10171.2 33.08
"228" 10228.2 37.16
"229" 9862.6 41.17
"230" 10285.1 42.11
"231" 10674.9 86.55
"232" 9329.3 95.11
"233" 9242.5 93
"234" 9641.8 92.96
"235" 9634 92.95
"236" 9419.8 92.77
"237" 8734.6 92.97
"238" 9021.8 92.73
"239" 9418.2 90.05
"240" 9717.5 90.06
"241" 10054.3 95.19
"242" 9794.4 98.53
