01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00;24:00:00
52843;50464;49167;49405;50939;53491;61581;69137;71203;70544;70853;71584;71107;70677;69862;69949;72420;75619;75111;73172;69559;66661;64446;59183
55130;53045;52399;52289;53703;55808;62670;70312;71967;71294;71807;72483;72147;71892;70987;71022;73157;75776;75096;73150;69824;67394;65244;60277
56266;53856;53064;53392;54552;56894;63735;70917;72742;71602;71870;72511;71971;71643;71004;71048;72923;75918;75436;73215;69692;66464;64374;59203
55587;53125;52218;52565;53749;55678;62680;69909;71526;70154;70282;70689;69477;68052;66460;66312;69050;73153;72344;69703;65815;63777;62885;58580
54890;52664;51258;50837;50819;50143;49873;53504;57116;59472;60943;61774;60979;59446;58151;58415;61304;63997;63172;60618;56858;54945;54798;51061
47034;44354;43126;43169;43242;42787;41244;43547;46478;49894;52655;55760;55415;53578;52047;51751;55198;58594;59469;58342;56264;55849;56209;52218
48998;46848;46186;46590;47919;50937;59271;67234;69758;69449;69739;70485;70515;70388;69475;69248;71415;73724;72873;71010;67272;64131;61599;56484
52302;49662;48758;49167;50385;52580;60165;68033;70423;69488;69834;70461;69823;69380;68691;68710;71340;73639;72602;70524;66794;63984;61881;56678
52665;50486;49734;50264;51426;53951;60620;68208;70111;69603;69919;70488;69908;69433;68923;68944;70912;73010;72063;69900;66247;63561;61731;56291
51860;49293;48273;48378;49336;51608;57847;65130;67746;67586;68088;68534;67738;66887;66042;66070;68134;70374;69603;67749;64162;61807;59982;54725
50618;48152;47156;47326;48283;50175;55193;62069;64601;64083;63924;63959;62977;61110;60122;60358;63306;66666;65909;63011;59354;57207;56382;51927
48329;45801;44597;44014;44243;43562;42605;46105;49569;52689;54346;55642;55417;54198;53339;53791;57081;61154;60989;58942;55466;53700;53490;49536
45412;42947;41571;40902;40839;39751;37555;39458;42890;46377;49023;50765;49928;48322;47174;46876;49497;52663;51055;48301;46269;47255;49206;46924
43653;40635;39027;38517;38610;37858;36016;37796;41471;45697;49147;51804;49365;45779;44621;44288;46334;49389;50558;49916;48515;48516;49652;46383
42852;40320;39230;38910;39158;38529;36408;37862;40609;44132;46796;49479;48278;45398;44054;43661;45987;50407;51652;51263;49766;49776;50898;48209
45140;42882;41834;41343;41709;42565;44738;49855;53983;56404;57913;59538;59770;58816;57930;57873;60528;63428;63299;61230;57351;55716;55552;51882
48537;46018;44912;44390;44660;45139;46757;51523;55517;58244;59587;61170;61140;59857;58943;58757;60917;63706;63536;61339;57737;56130;55655;51427
47542;44729;43287;42968;43638;44337;45828;50323;54088;56010;56990;57877;57491;56129;54678;54501;58085;62639;62505;60346;56735;55664;55620;51736
48442;46201;45095;44451;44448;43939;42895;45438;48496;51652;53626;54698;55197;54666;53829;54117;56609;59858;60058;57856;55029;53850;54717;52025
49001;45986;44202;43767;43342;42531;40746;42183;44494;46940;48900;51024;51242;50130;48526;48133;50875;55104;54614;51583;48355;48164;49425;47839
